ranking,name,score,score_num,quote,link
31,天堂电影院,9.2,399848,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。,https://movie.douban.com/subject/1291828/
32,鬼子来了,9.2,338438,对敌人的仁慈，就是对自己残忍。,https://movie.douban.com/subject/1291858/
33,指环王3：王者无敌,9.1,406395,史诗的终章。,https://movie.douban.com/subject/1291552/
34,十二怒汉,9.4,240823,1957年的理想主义。 ,https://movie.douban.com/subject/1293182/
35,天空之城,9.1,475719,对天空的追逐，永不停止。 ,https://movie.douban.com/subject/1291583/
36,摔跤吧！爸爸,9.0,776635,你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。,https://movie.douban.com/subject/26387939/
37,飞屋环游记,9.0,724815,最后那些最无聊的事情，才是最值得怀念的。 ,https://movie.douban.com/subject/2129039/
38,大话西游之月光宝盒,9.0,626528,旷古烁今。,https://movie.douban.com/subject/1299398/
39,搏击俱乐部,9.0,519040,邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。,https://movie.douban.com/subject/1292000/
40,罗马假日,9.0,541845,爱情哪怕只有一天。,https://movie.douban.com/subject/1293839/
41,哈尔的移动城堡,9.0,527185,带着心爱的人在天空飞翔。,https://movie.douban.com/subject/1308807/
42,闻香识女人,9.0,463391,史上最美的探戈。,https://movie.douban.com/subject/1298624/
43,辩护人,9.2,320108,电影的现实意义大过电影本身。,https://movie.douban.com/subject/21937445/
44,窃听风暴,9.1,321849,别样人生。,https://movie.douban.com/subject/1900841/
45,末代皇帝,9.1,315598,“不要跟我比惨，我比你更惨”再适合这部电影不过了。,https://movie.douban.com/subject/1293172/
46,两杆大烟枪,9.1,355009,4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。,https://movie.douban.com/subject/1293350/
47,飞越疯人院,9.1,357774,自由万岁。,https://movie.douban.com/subject/1292224/
48,死亡诗社,9.0,392909,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。,https://movie.douban.com/subject/1291548/
49,素媛,9.2,292387,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。,https://movie.douban.com/subject/21937452/
50,寻梦环游记,9.0,741146,死亡不是真的逝去，遗忘才是永恒的消亡。,https://movie.douban.com/subject/20495023/
51,指环王2：双塔奇兵,9.0,381652,承前启后的史诗篇章。,https://movie.douban.com/subject/1291572/
52,教父2,9.2,272767,优雅的孤独。,https://movie.douban.com/subject/1299131/
53,V字仇杀队,8.9,600131,一张面具背后的理想与革命。,https://movie.douban.com/subject/1309046/
54,指环王1：魔戒再现,9.0,427996,传说的开始。,https://movie.douban.com/subject/1291571/
55,海豚湾,9.3,235973,海豚的微笑，是世界上最高明的伪装。,https://movie.douban.com/subject/3442220/
56,饮食男女,9.1,293246,人生不能像做菜，把所有的料都准备好了才下锅。,https://movie.douban.com/subject/1291818/
57,狮子王,9.0,407171,动物版《哈姆雷特》。,https://movie.douban.com/subject/1301753/
58,美丽心灵,9.0,416674,爱是一切逻辑和原由。,https://movie.douban.com/subject/1306029/
59,情书,8.9,517496,暗恋的极致。,https://movie.douban.com/subject/1292220/
60,钢琴家,9.1,274711,音乐能化解仇恨。,https://movie.douban.com/subject/1296736/
61,本杰明·巴顿奇事,8.8,543782,在时间之河里感受溺水之苦。,https://movie.douban.com/subject/1485260/
62,美国往事,9.1,235205,往事如烟，无处祭奠。,https://movie.douban.com/subject/1292262/
63,看不见的客人,8.8,581163,你以为你以为的就是你以为的。,https://movie.douban.com/subject/26580232/
64,黑客帝国,8.9,406605,视觉革命。,https://movie.douban.com/subject/1291843/
65,西西里的美丽传说,8.8,515376,美丽无罪。,https://movie.douban.com/subject/1292402/
66,小鞋子,9.2,201894,奔跑的孩子是天使。,https://movie.douban.com/subject/1303021/
67,大闹天宫,9.3,169314,经典之作，历久弥新。,https://movie.douban.com/subject/1418019/
68,哈利·波特与魔法石,8.9,427875,童话世界的开端。,https://movie.douban.com/subject/1295038/
69,让子弹飞,8.7,886000,你给我翻译翻译，神马叫做TMD的惊喜。,https://movie.douban.com/subject/3742360/
70,拯救大兵瑞恩,9.0,346864,美利坚精神输出大片No1.,https://movie.douban.com/subject/1292849/
71,致命魔术,8.8,471756,孪生蝙蝠侠大战克隆金刚狼。,https://movie.douban.com/subject/1780330/
72,七宗罪,8.8,565847,警察抓小偷，老鼠玩死猫。,https://movie.douban.com/subject/1292223/
73,音乐之声,9.0,318769,用音乐化解仇恨，让歌声串起美好。,https://movie.douban.com/subject/1294408/
74,被嫌弃的松子的一生,8.9,419019,以戏谑来戏谑戏谑。,https://movie.douban.com/subject/1787291/
75,低俗小说,8.8,465639,故事的高级讲法。,https://movie.douban.com/subject/1291832/
76,沉默的羔羊,8.8,471451,安东尼·霍普金斯的顶级表演。,https://movie.douban.com/subject/1293544/
77,天使爱美丽,8.7,628604,法式小清新。 ,https://movie.douban.com/subject/1292215/
78,猫鼠游戏,8.9,365090,骗子大师和执著警探的你追我跑故事。 ,https://movie.douban.com/subject/1305487/
79,勇敢的心,8.9,372784,史诗大片的典范。,https://movie.douban.com/subject/1294639/
80,蝴蝶效应,8.7,518872,人的命运被自己瞬间的抉择改变。,https://movie.douban.com/subject/1292343/
81,剪刀手爱德华,8.7,643513,浪漫忧郁的成人童话。,https://movie.douban.com/subject/1292370/
82,春光乍泄,8.9,345691,爱情纠缠，男女一致。,https://movie.douban.com/subject/1292679/
83,心灵捕手,8.8,378906,人生中应该拥有这样的一段豁然开朗。,https://movie.douban.com/subject/1292656/
